{'RPATH': 'example', 'UPATH': 'example', 'save': 'example_05', 'seed': 1156, 'lr': 0.0005, 'gpu': '3', 'ep': 500, 'lambda_': 0.5, 'epsilon': 0.2}
epoch : 214	 logprob : -57.72	 J : 2.66	 LOS : 249.6	 TPP(won) : 121789.14
epoch : 215	 logprob : -58.77	 J : -1.11	 LOS : 278.8	 TPP(won) : 119756.6
epoch : 216	 logprob : -52.65	 J : 3.16	 LOS : 242.6	 TPP(won) : 119977.18
epoch : 217	 logprob : -52.36	 J : -0.62	 LOS : 247.2	 TPP(won) : 107191.75
epoch : 218	 logprob : -57.7	 J : 1.79	 LOS : 278.0	 TPP(won) : 134915.82
epoch : 219	 logprob : -48.07	 J : -0.49	 LOS : 242.2	 TPP(won) : 104931.35
epoch : 220	 logprob : -50.46	 J : 0.42	 LOS : 250.0	 TPP(won) : 112588.99
epoch : 221	 logprob : -45.11	 J : -3.74	 LOS : 260.4	 TPP(won) : 93677.62
epoch : 222	 logprob : -47.26	 J : 1.02	 LOS : 231.4	 TPP(won) : 105692.05
epoch : 223	 logprob : -49.16	 J : 1.45	 LOS : 237.0	 TPP(won) : 110779.73
epoch : 224	 logprob : -41.68	 J : 0.07	 LOS : 219.0	 TPP(won) : 93717.17
epoch : 225	 logprob : -44.01	 J : -1.9	 LOS : 235.2	 TPP(won) : 94954.3
epoch : 226	 logprob : -46.45	 J : 1.23	 LOS : 231.0	 TPP(won) : 107572.04
epoch : 227	 logprob : -46.02	 J : 0.43	 LOS : 249.2	 TPP(won) : 113168.35
epoch : 228	 logprob : -48.05	 J : -1.49	 LOS : 264.4	 TPP(won) : 111980.88
epoch : 229	 logprob : -46.03	 J : 1.31	 LOS : 248.4	 TPP(won) : 114380.86
epoch : 230	 logprob : -43.25	 J : -0.26	 LOS : 247.0	 TPP(won) : 106420.26
epoch : 231	 logprob : -46.91	 J : -1.11	 LOS : 263.8	 TPP(won) : 113308.93
epoch : 232	 logprob : -44.01	 J : -0.15	 LOS : 231.6	 TPP(won) : 101045.85
epoch : 233	 logprob : -45.42	 J : -2.46	 LOS : 275.6	 TPP(won) : 112628.43
epoch : 234	 logprob : -45.04	 J : 3.3	 LOS : 232.2	 TPP(won) : 119138.83
epoch : 235	 logprob : -42.7	 J : -1.28	 LOS : 245.0	 TPP(won) : 100706.42
epoch : 236	 logprob : -44.4	 J : 3.24	 LOS : 220.4	 TPP(won) : 112603.12
epoch : 237	 logprob : -44.55	 J : -0.11	 LOS : 241.4	 TPP(won) : 106986.74
epoch : 238	 logprob : -42.11	 J : 0.5	 LOS : 233.2	 TPP(won) : 105268.78
epoch : 239	 logprob : -42.86	 J : 2.16	 LOS : 217.4	 TPP(won) : 105537.36
epoch : 240	 logprob : -44.56	 J : 2.33	 LOS : 234.0	 TPP(won) : 114166.73
epoch : 241	 logprob : -41.21	 J : 0.75	 LOS : 234.8	 TPP(won) : 106371.96
epoch : 242	 logprob : -43.49	 J : 2.05	 LOS : 232.2	 TPP(won) : 112179.6
epoch : 243	 logprob : -39.71	 J : -0.18	 LOS : 233.4	 TPP(won) : 102103.19
epoch : 244	 logprob : -41.67	 J : 1.19	 LOS : 233.4	 TPP(won) : 108761.17
epoch : 245	 logprob : -39.92	 J : 0.6	 LOS : 227.0	 TPP(won) : 103166.26
epoch : 246	 logprob : -38.7	 J : 1.42	 LOS : 220.4	 TPP(won) : 104103.4
epoch : 247	 logprob : -38.03	 J : 0.95	 LOS : 211.2	 TPP(won) : 97015.31
epoch : 248	 logprob : -39.88	 J : 2.61	 LOS : 215.8	 TPP(won) : 107641.33
epoch : 249	 logprob : -36.57	 J : -1.25	 LOS : 226.8	 TPP(won) : 92798.59
epoch : 250	 logprob : -37.84	 J : 0.07	 LOS : 223.0	 TPP(won) : 98269.18
epoch : 251	 logprob : -36.29	 J : 0.69	 LOS : 213.2	 TPP(won) : 96274.28
epoch : 252	 logprob : -36.33	 J : -0.21	 LOS : 221.4	 TPP(won) : 96376.48
epoch : 253	 logprob : -35.22	 J : -1.21	 LOS : 237.6	 TPP(won) : 96968.01
epoch : 254	 logprob : -34.71	 J : 0.81	 LOS : 211.2	 TPP(won) : 96690.36
epoch : 255	 logprob : -37.36	 J : -0.34	 LOS : 227.8	 TPP(won) : 98225.74
epoch : 256	 logprob : -35.1	 J : 0.62	 LOS : 218.0	 TPP(won) : 98467.44
epoch : 257	 logprob : -33.74	 J : -1.05	 LOS : 218.6	 TPP(won) : 90029.35
epoch : 258	 logprob : -33.97	 J : 0.22	 LOS : 208.0	 TPP(won) : 91845.43
epoch : 259	 logprob : -37.44	 J : 0.36	 LOS : 235.8	 TPP(won) : 105434.73
epoch : 260	 logprob : -35.66	 J : -0.03	 LOS : 231.2	 TPP(won) : 101224.38
epoch : 261	 logprob : -36.18	 J : 0.6	 LOS : 214.4	 TPP(won) : 97094.96
epoch : 262	 logprob : -32.21	 J : -0.66	 LOS : 205.0	 TPP(won) : 85229.24
epoch : 263	 logprob : -35.89	 J : -0.16	 LOS : 223.0	 TPP(won) : 97343.48
epoch : 264	 logprob : -32.52	 J : 0.2	 LOS : 208.0	 TPP(won) : 91404.41
epoch : 265	 logprob : -34.72	 J : -0.77	 LOS : 221.8	 TPP(won) : 93100.34
epoch : 266	 logprob : -33.39	 J : 0.38	 LOS : 202.0	 TPP(won) : 89663.6
epoch : 267	 logprob : -32.69	 J : -1.49	 LOS : 219.8	 TPP(won) : 87979.77
epoch : 268	 logprob : -35.46	 J : 0.18	 LOS : 221.0	 TPP(won) : 97921.85
epoch : 269	 logprob : -34.11	 J : 0.07	 LOS : 207.8	 TPP(won) : 90914.58
epoch : 270	 logprob : -33.29	 J : -0.66	 LOS : 217.4	 TPP(won) : 91116.69
epoch : 271	 logprob : -33.16	 J : 0.09	 LOS : 207.6	 TPP(won) : 91049.49
epoch : 272	 logprob : -34.22	 J : -0.0	 LOS : 212.6	 TPP(won) : 93132.66
epoch : 273	 logprob : -33.72	 J : 0.81	 LOS : 209.6	 TPP(won) : 95644.46
